query_id,query_articleType,query_path,rank,retrieved_id,retrieved_articleType,retrieved_path,distance
42656,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42656.jpg,1,40630,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/40630.jpg,0.010775436
42656,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42656.jpg,2,31310,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/31310.jpg,0.013042105
42656,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42656.jpg,3,31065,Dupatta,./A2_FashionDataset/FashionDataset/train/images_train/31065.jpg,0.014965712
42656,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42656.jpg,4,18263,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/18263.jpg,0.028308779
42656,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42656.jpg,5,28475,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/28475.jpg,0.029355908
25000,Capris,./A2_FashionDataset/FashionDataset/train/images_train/25000.jpg,1,32427,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/32427.jpg,0.007816051
25000,Capris,./A2_FashionDataset/FashionDataset/train/images_train/25000.jpg,2,40070,Capris,./A2_FashionDataset/FashionDataset/train/images_train/40070.jpg,0.013719659
25000,Capris,./A2_FashionDataset/FashionDataset/train/images_train/25000.jpg,3,27415,Capris,./A2_FashionDataset/FashionDataset/train/images_train/27415.jpg,0.017831262
25000,Capris,./A2_FashionDataset/FashionDataset/train/images_train/25000.jpg,4,28463,Shorts,./A2_FashionDataset/FashionDataset/train/images_train/28463.jpg,0.02074736
25000,Capris,./A2_FashionDataset/FashionDataset/train/images_train/25000.jpg,5,5457,Track Pants,./A2_FashionDataset/FashionDataset/train/images_train/5457.jpg,0.020914905
24523,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24523.jpg,1,47025,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/47025.jpg,0.018009782
24523,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24523.jpg,2,42546,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42546.jpg,0.018491855
24523,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24523.jpg,3,42518,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/42518.jpg,0.018836731
24523,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24523.jpg,4,24504,Belts,./A2_FashionDataset/FashionDataset/train/images_train/24504.jpg,0.020080753
24523,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/24523.jpg,5,22070,Kurtas,./A2_FashionDataset/FashionDataset/train/images_train/22070.jpg,0.022139896
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,1,16777,Watches,./A2_FashionDataset/FashionDataset/train/images_train/16777.jpg,0.102691814
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,2,46775,Perfume and Body Mist,./A2_FashionDataset/FashionDataset/train/images_train/46775.jpg,0.19883102
29906,Watches,./A2_FashionDataset/FashionDataset/train/images_train/29906.jpg,3,44037,Perfume and Body Mist,./A2_FashionDataset/FashionDataset/train/images_train/44037.jpg,0.27142793
